,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
0,Stephen Curry,43006362,45780966,32,GSW,63,34.2,12.7,.421,5.5,0.1,1.2,5.8,3.4,32.0,26.3,.655,6.5,2.5,9.0,8.1,0.0,8.1,5.5
1,Russell Westbrook,41358814,44211146,32,WAS,65,36.4,4.2,.315,11.5,0.4,1.4,11.7,4.8,22.2,19.5,.509,0.5,3.2,3.7,2.5,0.8,3.4,3.2
2,Chris Paul,41358814,44211146,35,PHO,70,31.4,3.7,.395,4.5,0.3,1.4,8.9,2.2,16.4,21.4,.599,6.5,2.7,9.2,3.4,1.3,4.7,3.7
3,John Wall,41254920,44310840,30,HOU,40,32.2,6.2,.317,3.2,0.8,1.1,6.9,3.5,20.6,15.4,.503,-1.0,0.8,-0.2,1.4,-1.6,-0.2,0.6
4,James Harden,40824000,43848000,31,TOT,44,36.6,7.6,.362,7.9,0.8,1.2,10.8,4.0,24.6,24.5,.618,5.3,1.7,7.0,6.2,0.6,6.8,3.5
13,LeBron James,39219565,41180544,36,LAL,45,33.4,6.3,.365,7.7,0.6,1.1,7.8,3.7,25.0,24.2,.602,3.0,2.6,5.6,5.9,1.6,7.5,3.6
14,Kevin Durant,39058950,40918900,32,BRK,35,33.1,5.4,.450,7.1,1.3,0.7,5.6,3.4,26.9,26.4,.666,3.7,1.2,5.0,6.2,0.6,6.9,2.6
15,Paul George,35450412,39344970,30,LAC,54,33.7,7.7,.411,6.6,0.4,1.1,5.2,3.3,23.3,20.5,.598,3.0,2.3,5.3,4.0,-0.4,3.7,2.6
16,Mike Conley,34504132,0,33,UTA,51,29.4,6.6,.412,3.5,0.2,1.4,6.0,1.9,16.2,19.2,.589,4.0,2.1,6.1,3.5,0.9,4.4,2.4
17,Jimmy Butler,34379100,36016200,31,MIA,52,33.6,2.0,.245,6.9,0.3,2.1,7.1,2.1,21.5,26.5,.607,6.6,2.7,9.3,5.1,2.5,7.5,4.2
18,Kemba Walker,34379100,36016200,30,BOS,43,31.8,8.2,.360,4.0,0.3,1.1,4.9,2.0,19.3,17.7,.559,2.1,1.1,3.3,2.5,-0.7,1.8,1.3
19,Kawhi Leonard,34379100,36016200,29,LAC,52,34.1,4.9,.398,6.5,0.4,1.6,5.2,2.0,24.8,26.0,.622,6.4,2.4,8.8,5.7,1.0,6.7,3.9
20,Tobias Harris,33517241,36000000,28,PHI,62,32.5,3.4,.394,6.8,0.8,0.9,3.5,1.7,19.5,20.0,.597,4.1,3.1,7.1,2.8,0.5,3.4,2.7
21,Kyrie Irving,33329100,34916200,28,BRK,54,34.9,7.0,.402,4.8,0.7,1.4,6.0,2.4,26.9,24.4,.614,5.8,1.6,7.4,5.7,-0.4,5.3,3.5
22,Khris Middleton,33051724,35500000,29,MIL,68,33.4,5.4,.414,6.0,0.1,1.1,5.4,2.6,20.4,18.2,.588,4.1,2.2,6.4,2.0,-0.7,1.3,1.9
23,Anthony Davis,32742000,35361360,27,LAL,36,32.3,2.8,.260,7.9,1.6,1.3,3.1,2.1,21.8,22.1,.556,1.3,2.4,3.7,2.9,1.6,4.5,1.9
42,Damian Lillard,31626953,43750000,30,POR,67,35.8,10.5,.391,4.2,0.3,0.9,7.5,3.0,28.8,25.6,.623,9.6,0.8,10.4,7.4,-1.6,5.9,4.8
43,Kevin Love,31300000,31300000,32,CLE,25,24.9,6.2,.365,7.4,0.1,0.6,2.5,1.5,12.2,15.1,.556,0.3,0.6,0.9,0.8,-0.8,0.0,0.3
16944,Kyle Lowry,30000000,0,34,TOR,46,34.8,7.2,.396,5.4,0.3,1.0,7.3,2.7,17.2,16.5,.593,2.9,1.3,4.1,1.9,-0.7,1.2,1.3
16945,Joel Embiid,29542010,31579390,26,PHI,51,31.1,3.0,.377,10.6,1.4,1.0,2.8,3.1,28.5,30.3,.636,5.6,3.2,8.8,6.2,1.0,7.2,3.7
16946,Andrew Wiggins,29542010,31579390,25,GSW,71,33.3,5.2,.380,4.9,1.0,0.9,2.4,1.8,18.6,15.0,.568,1.2,2.7,3.9,-0.1,-0.6,-0.7,0.8
16947,Kristaps Porziņģis,29467800,31650600,25,DAL,43,30.9,6.0,.376,8.9,1.3,0.5,1.6,1.2,20.1,21.3,.582,2.6,1.7,4.3,2.9,-0.8,2.0,1.4
16948,Devin Booker,29430000,31610000,24,PHO,67,33.9,5.5,.340,4.2,0.2,0.8,4.3,3.1,25.6,19.2,.587,2.9,2.0,4.9,1.4,-1.5,-0.1,1.1
16949,Karl-Anthony Towns,29430000,31610000,25,MIN,50,33.8,6.3,.387,10.6,1.1,0.8,4.5,3.2,24.8,23.1,.612,3.8,1.6,5.4,4.0,0.2,4.3,2.7
16950,CJ McCollum,29354152,30864198,29,POR,47,34.0,8.9,.402,3.9,0.4,0.9,4.7,1.4,23.1,20.8,.577,4.1,0.6,4.7,4.9,-1.5,3.3,2.1
16951,Ben Simmons,29250000,31590000,24,PHI,58,32.4,0.2,.300,7.2,0.6,1.6,6.9,3.0,14.3,18.3,.584,2.7,3.3,6.0,0.8,1.9,2.7,2.2
16952,Jamal Murray,29250000,31590000,23,DEN,48,35.5,6.6,.408,4.0,0.3,1.3,4.8,2.3,21.2,18.3,.592,3.1,1.5,4.6,2.7,-1.0,1.7,1.6
16953,Pascal Siakam,29000000,31320000,26,TOR,56,35.8,4.4,.297,7.2,0.7,1.1,4.5,2.3,21.4,17.7,.547,2.3,2.0,4.2,0.8,-0.4,0.4,1.2
16954,Bradley Beal,28751775,34502130,27,WAS,60,35.8,6.2,.349,4.7,0.4,1.2,4.4,3.1,31.3,22.7,.593,4.2,1.7,5.9,4.9,-1.7,3.2,2.8
16973,D'Angelo Russell,28649250,30013500,24,MIN,42,28.5,7.4,.387,2.6,0.4,1.1,5.8,2.7,19.0,17.6,.555,1.0,0.6,1.6,3.0,-1.9,1.1,1.0
16974,Nikola Jokić,28542009,30510423,25,DEN,72,34.6,3.3,.388,10.8,0.7,1.3,8.3,3.1,26.4,31.3,.647,12.2,3.4,15.6,9.2,2.5,11.7,8.6
16975,Gordon Hayward,28500000,29900000,30,CHO,44,34.0,4.7,.415,5.9,0.3,1.2,4.1,2.1,19.6,17.6,.584,2.2,1.4,3.5,1.9,-0.5,1.4,1.3
16976,Otto Porter,28489239,0,27,TOT,28,21.6,3.7,.375,5.4,0.1,0.6,2.0,0.9,9.7,14.5,.552,0.6,0.7,1.3,0.0,-0.5,-0.6,0.2
16985,DeMar DeRozan,27739975,0,31,SAS,61,33.7,1.2,.257,4.2,0.2,0.9,6.9,2.0,21.6,22.0,.591,5.9,1.5,7.4,3.4,-0.2,3.2,2.7
16986,Giannis Antetokounmpo,27528090,39344970,26,MIL,61,33.0,3.6,.303,11.0,1.2,1.2,5.9,3.4,28.1,29.2,.633,6.9,3.3,10.2,6.2,2.6,8.8,5.5
16987,Steven Adams,27528090,17073171,27,NOP,58,27.7,0.1,.000,8.9,0.7,0.9,1.9,1.3,7.6,15.1,.596,2.3,1.7,4.0,-0.3,-0.5,-0.8,0.5
16988,Al Horford,27500000,27000000,34,OKC,28,27.9,5.4,.368,6.7,0.9,0.9,3.4,1.0,14.2,17.4,.538,0.8,0.9,1.6,1.9,1.4,3.3,1.0
16989,Brandon Ingram,27285000,29467800,23,NOP,61,34.3,6.1,.381,4.9,0.6,0.7,4.9,2.5,23.8,19.2,.584,3.9,1.3,5.3,3.6,-1.4,2.2,2.2
16990,Rudy Gobert,26525281,35344828,28,UTA,71,30.8,0.1,.000,13.5,2.7,0.6,1.3,1.7,14.3,23.5,.683,6.1,5.2,11.3,2.0,2.5,4.5,3.6
16991,Jrue Holiday,26131111,30133333,30,MIL,59,32.3,4.8,.392,4.5,0.6,1.6,6.1,2.2,17.7,20.0,.592,4.3,2.2,6.6,2.8,0.7,3.5,2.6
16992,Nikola Vučević,26000000,24000000,30,TOT,70,33.5,6.3,.400,11.7,0.7,0.9,3.8,1.8,23.4,22.9,.560,3.3,3.0,6.3,4.9,0.2,5.1,4.2
17001,Buddy Hield,24431818,22477273,28,SAC,71,34.3,10.2,.391,4.7,0.4,0.9,3.6,1.8,16.6,12.8,.567,1.5,0.7,2.2,0.8,-1.6,-0.8,0.7
17002,Jaylen Brown,22991071,24830357,24,BOS,58,34.5,7.1,.397,6.0,0.6,1.2,3.4,2.7,24.7,19.9,.586,2.8,2.0,4.8,3.5,-1.0,2.5,2.3
17003,Draymond Green,22246956,24026712,30,GSW,63,31.5,2.0,.270,7.1,0.8,1.7,8.9,3.0,7.0,13.3,.530,1.2,3.4,4.6,-1.7,3.3,1.5,1.8
17004,Harrison Barnes,22215909,20284091,28,SAC,58,36.2,4.4,.391,6.6,0.2,0.7,3.5,1.6,16.1,15.4,.626,4.0,0.5,4.5,1.4,-1.6,-0.2,1.0
17005,Fred VanVleet,21250000,19675926,26,TOR,52,36.5,9.2,.366,4.2,0.7,1.7,6.3,1.8,19.6,16.8,.534,2.4,1.8,4.3,2.3,-0.1,2.2,2.0
17006,Victor Oladipo,21000000,0,28,TOT,33,32.7,7.2,.326,4.8,0.4,1.4,4.6,2.5,19.8,14.3,.512,-0.6,1.0,0.4,-0.6,-0.9,-1.5,0.1
17022,Malcolm Brogdon,20700000,21700000,28,IND,56,34.5,6.7,.388,5.3,0.3,0.9,5.9,2.1,21.2,17.9,.561,2.9,1.3,4.2,2.9,-1.4,1.5,1.7
