,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,AST,STL,BLK,TOV,PTS,PER,TS%,Unnamed: 19,OWS,DWS,WS,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,Stephen Curry,"$43,006,362","$45,780,966",32,GSW,63,34.2,12.7,.421,5.5,5.8,1.2,0.1,3.4,32.0,26.3,.655,,6.5,2.5,9.0,,8.1,0.0,8.1,5.5
1,Russell Westbrook,"$41,358,814","$44,211,146",32,WAS,65,36.4,4.2,.315,11.5,11.7,1.4,0.4,4.8,22.2,19.5,.509,,0.5,3.2,3.7,,2.5,0.8,3.4,3.2
2,Chris Paul,"$41,358,814","$44,211,146",35,PHO,70,31.4,3.7,.395,4.5,8.9,1.4,0.3,2.2,16.4,21.4,.599,,6.5,2.7,9.2,,3.4,1.3,4.7,3.7
3,John Wall,"$41,254,920","$44,310,840",30,HOU,40,32.2,6.2,.317,3.2,6.9,1.1,0.8,3.5,20.6,15.4,.503,,-1.0,0.8,-0.2,,1.4,-1.6,-0.2,0.6
4,James Harden,"$40,824,000","$43,848,000",31,TOT,44,36.6,7.6,.362,7.9,10.8,1.2,0.8,4.0,24.6,24.5,.618,,5.3,1.7,7.0,,6.2,0.6,6.8,3.5
5,James Harden,"$40,824,000","$43,848,000",31,TOT,44,36.6,7.6,.362,7.9,10.8,1.2,0.8,4.0,24.6,22.4,.613,,0.8,0.2,1.0,,5.6,-1.0,4.6,0.5
6,James Harden,"$40,824,000","$43,848,000",31,TOT,44,36.6,7.6,.362,7.9,10.8,1.2,0.8,4.0,24.6,25.0,.619,,4.5,1.5,6.0,,6.3,0.9,7.2,3.0
7,James Harden,"$40,824,000","$43,848,000",31,HOU,8,36.3,9.0,.347,5.1,10.4,0.9,0.8,4.3,24.8,24.5,.618,,5.3,1.7,7.0,,6.2,0.6,6.8,3.5
8,James Harden,"$40,824,000","$43,848,000",31,HOU,8,36.3,9.0,.347,5.1,10.4,0.9,0.8,4.3,24.8,22.4,.613,,0.8,0.2,1.0,,5.6,-1.0,4.6,0.5
9,James Harden,"$40,824,000","$43,848,000",31,HOU,8,36.3,9.0,.347,5.1,10.4,0.9,0.8,4.3,24.8,25.0,.619,,4.5,1.5,6.0,,6.3,0.9,7.2,3.0
10,James Harden,"$40,824,000","$43,848,000",31,BRK,36,36.6,7.3,.366,8.5,10.9,1.3,0.8,4.0,24.6,24.5,.618,,5.3,1.7,7.0,,6.2,0.6,6.8,3.5
11,James Harden,"$40,824,000","$43,848,000",31,BRK,36,36.6,7.3,.366,8.5,10.9,1.3,0.8,4.0,24.6,22.4,.613,,0.8,0.2,1.0,,5.6,-1.0,4.6,0.5
12,James Harden,"$40,824,000","$43,848,000",31,BRK,36,36.6,7.3,.366,8.5,10.9,1.3,0.8,4.0,24.6,25.0,.619,,4.5,1.5,6.0,,6.3,0.9,7.2,3.0
13,LeBron James,"$39,219,565","$41,180,544",36,LAL,45,33.4,6.3,.365,7.7,7.8,1.1,0.6,3.7,25.0,24.2,.602,,3.0,2.6,5.6,,5.9,1.6,7.5,3.6
14,Kevin Durant,"$39,058,950","$40,918,900",32,BRK,35,33.1,5.4,.450,7.1,5.6,0.7,1.3,3.4,26.9,26.4,.666,,3.7,1.2,5.0,,6.2,0.6,6.9,2.6
15,Paul George,"$35,450,412","$39,344,970",30,LAC,54,33.7,7.7,.411,6.6,5.2,1.1,0.4,3.3,23.3,20.5,.598,,3.0,2.3,5.3,,4.0,-0.4,3.7,2.6
16,Mike Conley,"$34,504,132",,33,UTA,51,29.4,6.6,.412,3.5,6.0,1.4,0.2,1.9,16.2,19.2,.589,,4.0,2.1,6.1,,3.5,0.9,4.4,2.4
17,Jimmy Butler,"$34,379,100","$36,016,200",31,MIA,52,33.6,2.0,.245,6.9,7.1,2.1,0.3,2.1,21.5,26.5,.607,,6.6,2.7,9.3,,5.1,2.5,7.5,4.2
18,Kemba Walker,"$34,379,100","$36,016,200",30,BOS,43,31.8,8.2,.360,4.0,4.9,1.1,0.3,2.0,19.3,17.7,.559,,2.1,1.1,3.3,,2.5,-0.7,1.8,1.3
19,Kawhi Leonard,"$34,379,100","$36,016,200",29,LAC,52,34.1,4.9,.398,6.5,5.2,1.6,0.4,2.0,24.8,26.0,.622,,6.4,2.4,8.8,,5.7,1.0,6.7,3.9
20,Tobias Harris,"$33,517,241","$36,000,000",28,PHI,62,32.5,3.4,.394,6.8,3.5,0.9,0.8,1.7,19.5,20.0,.597,,4.1,3.1,7.1,,2.8,0.5,3.4,2.7
21,Kyrie Irving,"$33,329,100","$34,916,200",28,BRK,54,34.9,7.0,.402,4.8,6.0,1.4,0.7,2.4,26.9,24.4,.614,,5.8,1.6,7.4,,5.7,-0.4,5.3,3.5
22,Khris Middleton,"$33,051,724","$35,500,000",29,MIL,68,33.4,5.4,.414,6.0,5.4,1.1,0.1,2.6,20.4,18.2,.588,,4.1,2.2,6.4,,2.0,-0.7,1.3,1.9
23,Anthony Davis,"$32,742,000","$35,361,360",27,LAL,36,32.3,2.8,.260,7.9,3.1,1.3,1.6,2.1,21.8,22.1,.556,,1.3,2.4,3.7,,2.9,1.6,4.5,1.9
24,Blake Griffin,"$33,685,241","$29,764,126",31,TOT,46,25.8,4.5,.341,4.9,3.0,0.7,0.3,1.3,11.0,12.9,.546,,0.9,1.1,2.0,,-0.6,-0.4,-1.0,0.3
25,Blake Griffin,"$33,685,241","$29,764,126",31,TOT,46,25.8,4.5,.341,4.9,3.0,0.7,0.3,1.3,11.0,9.8,.491,,-0.2,0.5,0.3,,-1.5,-1.1,-2.6,-0.1
26,Blake Griffin,"$33,685,241","$29,764,126",31,TOT,46,25.8,4.5,.341,4.9,3.0,0.7,0.3,1.3,11.0,16.3,.610,,1.1,0.6,1.7,,0.3,0.3,0.6,0.4
27,Blake Griffin,"$33,685,241","$29,764,126",31,DET,20,31.3,6.2,.315,5.2,3.9,0.7,0.1,1.6,12.3,12.9,.546,,0.9,1.1,2.0,,-0.6,-0.4,-1.0,0.3
