,Player,CurrentSalary,UpcomingSalary,Age,Tm,G,MP,3PA,3P%,TRB,BLK,STL,AST,TOV,PTS,PER,TS%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
0,Stephen Curry,40231758,43006362,31,GSW,5,27.8,9.8,0.245,5.2,0.4,1.0,6.6,3.2,20.8,21.7,0.557,0.2,0.1,0.3,4.5,-0.6,3.9,0.2
1,Chris Paul,38506482,41358814,34,OKC,63,31.8,4.4,0.36200000000000004,4.9,0.1,1.6,6.8,2.2,17.7,21.7,0.609,5.5,2.5,8.1,3.1,1.2,4.3,3.2
2,Russell Westbrook,38178000,41006000,31,HOU,53,35.9,3.8,0.254,8.0,0.3,1.7,7.0,4.5,27.5,21.5,0.539,2.1,2.3,4.3,1.9,-0.1,1.8,1.8
3,James Harden,37800000,40824000,30,HOU,61,36.7,12.6,0.35200000000000004,6.4,0.9,1.7,7.4,4.5,34.4,28.4,0.616,8.7,2.7,11.5,7.9,1.2,9.0,6.3
4,LeBron James,37436858,39219565,35,LAL,60,34.9,6.4,0.349,7.9,0.5,1.2,10.6,4.0,25.7,26.0,0.5820000000000001,6.1,3.4,9.5,6.8,1.9,8.7,5.7
5,Blake Griffin,34234964,36595996,30,DET,18,28.4,6.2,0.243,4.7,0.4,0.4,3.3,2.2,15.5,11.9,0.47600000000000003,-0.4,0.2,-0.1,-1.7,-2.6,-4.2,-0.3
6,Kyle Lowry,33296296,30000000,33,TOR,52,36.6,8.3,0.354,4.8,0.4,1.3,7.7,3.0,19.7,17.9,0.589,4.1,2.8,6.9,2.5,0.7,3.2,2.5
7,Paul George,33005556,35450412,29,LAC,42,29.1,7.9,0.39899999999999997,5.7,0.5,1.3,3.9,2.7,21.0,20.5,0.5820000000000001,1.9,2.0,3.9,3.4,1.1,4.5,2.0
8,Jimmy Butler,32742000,34379100,30,MIA,54,34.3,2.2,0.248,6.6,0.5,1.7,6.1,2.2,20.2,23.4,0.583,6.0,2.5,8.5,4.0,1.3,5.2,3.4
9,Kemba Walker,32742000,34379100,29,BOS,50,31.8,8.8,0.377,4.1,0.5,0.9,4.9,2.1,21.2,20.2,0.569,3.5,1.9,5.4,5.0,-0.2,4.7,2.7
10,Kawhi Leonard,32742000,34379100,28,LAC,51,32.2,5.7,0.366,7.3,0.6,1.8,5.0,2.7,26.9,26.7,0.585,4.6,3.0,7.6,6.5,2.5,9.0,4.6
11,Gordon Hayward,32700690,34187085,29,BOS,45,33.4,4.2,0.392,6.5,0.4,0.8,4.1,1.8,17.3,18.2,0.593,3.1,1.9,5.0,2.6,0.3,2.9,1.8
12,Mike Conley,32511623,34504132,32,UTA,41,28.6,5.2,0.376,3.2,0.1,0.8,4.3,1.9,13.8,13.7,0.527,1.0,1.0,2.1,0.4,-0.4,0.0,0.6
13,Kyrie Irving,31742000,33329100,27,BRK,20,32.9,7.1,0.39399999999999996,5.2,0.5,1.4,6.4,2.6,27.4,26.3,0.595,2.1,0.8,3.0,6.6,1.0,7.6,1.6
14,Tobias Harris,31034483,33517241,27,PHI,65,34.5,5.0,0.36200000000000004,6.8,0.5,0.8,3.2,1.5,19.4,16.8,0.557,3.0,2.6,5.6,1.0,-0.4,0.6,1.5
15,Khris Middleton,30603448,33051724,28,MIL,55,30.1,5.8,0.418,6.2,0.1,0.9,4.1,2.1,21.1,21.4,0.619,4.3,3.1,7.4,3.4,0.9,4.4,2.7
16,Paul Millsap,30500000,0,34,DEN,44,24.4,2.5,0.44,5.9,0.6,0.9,1.6,1.4,12.0,17.7,0.598,2.0,1.4,3.4,0.6,0.0,0.6,0.7
17,Damian Lillard,29802321,31626953,29,POR,58,36.9,9.9,0.39399999999999996,4.3,0.4,1.0,7.8,2.9,28.9,26.2,0.619,8.9,0.7,9.6,7.9,-0.7,7.2,5.0
18,Kevin Love,28900000,31300000,31,CLE,56,31.8,7.0,0.374,9.8,0.3,0.6,3.2,2.5,17.6,17.9,0.599,2.5,1.2,3.8,2.6,-0.6,2.1,1.8
19,Nikola VuÃ„ÂeviÃ„â€¡,28000000,26000000,29,ORL,54,32.6,4.6,0.32899999999999996,11.0,0.9,0.9,3.7,1.4,19.5,21.6,0.54,2.9,2.6,5.5,3.4,0.6,4.0,2.7
20,Al Horford,28000000,27500000,33,PHI,60,30.8,4.4,0.337,6.9,0.9,0.9,4.1,1.1,12.0,15.6,0.526,2.5,2.5,5.0,1.1,1.1,2.2,2.0
21,DeMar DeRozan,27739975,27739975,30,SAS,61,34.3,0.5,0.267,5.6,0.2,1.0,5.6,2.4,22.2,21.3,0.597,5.1,1.1,6.2,2.1,-0.5,1.6,1.9
22,CJ McCollum,27556959,29354152,28,POR,62,36.0,7.4,0.38,4.1,0.6,0.7,4.3,1.9,22.5,17.4,0.5429999999999999,3.1,0.6,3.7,2.5,-1.7,0.9,1.6
23,Joel Embiid,27504630,29542010,25,PHI,44,30.2,3.7,0.348,11.8,1.3,0.9,3.1,3.1,23.4,26.0,0.593,3.2,2.4,5.6,4.1,1.2,5.2,2.4
24,Andrew Wiggins,27504630,29542010,24,TOT,54,34.4,6.2,0.332,5.1,1.0,0.8,3.7,2.4,21.8,16.4,0.536,0.9,1.1,1.9,1.1,-1.5,-0.3,0.8
25,Kristaps PorziÃ…â€ Ã„Â£is,27285000,29467800,24,DAL,51,31.3,7.1,0.349,9.5,2.1,0.7,1.7,1.6,19.2,19.3,0.54,1.7,2.6,4.3,1.2,0.3,1.5,1.4
